OrderTicket,OrderType,Symbol,Volume,OpenPrice,OpenTime,ClosePrice,CloseTime,Profit
155033626,1,EURUSD,0.07,1.11322,2024.09.30 22:00,1.11096,2024.10.01 11:04,15.82
155033735,1,EURUSD,0.19,1.11286,2024.09.30 22:05,1.11096,2024.10.01 11:04,36.1
155044819,1,EURUSD,0.12,1.11088,2024.10.01 11:05,1.10998,2024.10.01 11:53,10.8
155044820,1,EURUSD,0.07,1.11088,2024.10.01 11:05,1.10998,2024.10.01 11:53,6.3
155045910,1,EURUSD,0.07,1.10997,2024.10.01 11:55,1.10822,2024.10.01 14:34,12.25
155046008,1,EURUSD,0.19,1.11031,2024.10.01 12:00,1.10822,2024.10.01 14:34,39.71
