OrderTicket,OrderType,Symbol,Volume,OpenPrice,OpenTime,ClosePrice,CloseTime,Profit
155033736,1,EURUSD,0.06,1.11286,2024.09.30 22:05,1.11086,2024.10.01 11:04,12
155033737,1,EURUSD,0.06,1.11286,2024.09.30 22:05,1.11086,2024.10.01 11:04,12
155033738,1,EURUSD,0.06,1.11286,2024.09.30 22:05,1.11086,2024.10.01 11:04,12
155044821,1,EURUSD,0.06,1.11088,2024.10.01 11:05,1.10888,2024.10.01 13:24,12
155044822,1,EURUSD,0.06,1.11088,2024.10.01 11:05,1.10888,2024.10.01 13:24,12
155044824,1,EURUSD,0.06,1.11088,2024.10.01 11:05,1.10888,2024.10.01 13:24,12
155058154,1,EURUSD,0.06,1.1071,2024.10.01 18:05,1.1051,2024.10.01 19:45,12
155058157,1,EURUSD,0.06,1.1071,2024.10.01 18:05,1.1051,2024.10.01 19:45,12
155058160,1,EURUSD,0.06,1.1071,2024.10.01 18:05,1.1051,2024.10.01 19:45,12
155062448,1,EURUSD,0.06,1.10538,2024.10.01 20:05,1.10338,2024.10.02 18:01,12
155062451,1,EURUSD,0.06,1.10538,2024.10.01 20:05,1.10338,2024.10.02 18:01,12
155062455,1,EURUSD,0.06,1.10538,2024.10.01 20:05,1.10338,2024.10.02 18:01,12
155067308,6,,0.01,0,2024.10.02 01:20,0,2024.10.02 01:20,100000
155118049,1,EURUSD,0.06,1.10443,2024.10.02 21:05,1.10243,2024.10.03 17:00,12
155118050,1,EURUSD,0.06,1.10443,2024.10.02 21:05,1.10243,2024.10.03 17:00,12
155118051,1,EURUSD,0.06,1.10443,2024.10.02 21:05,1.10243,2024.10.03 17:00,12
155139418,1,EURUSD,0.06,1.10276,2024.10.03 17:05,1.10076,2024.10.04 15:30,12
155139419,1,EURUSD,0.06,1.10276,2024.10.03 17:05,1.10076,2024.10.04 15:30,12
155139420,1,EURUSD,0.06,1.10276,2024.10.03 17:05,1.10076,2024.10.04 15:30,12
