OrderTicket,OrderType,Symbol,Volume,OpenPrice,OpenTime,ClosePrice,CloseTime,Profit
155037265,1,EURUSD,0.4,1.11323,2024.10.01 04:00,1.11143,2024.10.01 10:09,72
155046005,1,EURUSD,0.4,1.11031,2024.10.01 12:00,1.10851,2024.10.01 13:36,72
155051369,1,EURUSD,0.4,1.10712,2024.10.01 16:00,1.10532,2024.10.01 19:43,72
155062176,1,EURUSD,0.4,1.10541,2024.10.01 20:00,1.10361,2024.10.02 17:49,72
155067232,6,,0.01,0,2024.10.02 01:09,0,2024.10.02 01:09,100000
155117155,1,EURUSD,0.4,1.10467,2024.10.02 20:00,1.10287,2024.10.03 08:13,72
155137373,1,EURUSD,0.4,1.1032,2024.10.03 16:00,1.1014,2024.10.03 17:42,72
155143952,1,EURUSD,0.4,1.10309,2024.10.03 20:00,1.10129,2024.10.04 15:30,72
