OrderTicket,OrderType,Symbol,Volume,OpenPrice,OpenTime,ClosePrice,CloseTime,Profit
154514977,6,,0.01,0,2024.09.16 04:48,0,2024.09.16 04:48,100000
154622751,0,EURUSD,0.19,1.11061,2024.09.19 03:34,1.11201,2024.09.19 07:02,26.6
154623452,0,EURUSD,0.31,1.10883,2024.09.19 03:55,1.11201,2024.09.19 07:02,98.58
154628575,1,EURUSD,0.19,1.11168,2024.09.19 07:05,1.11289,2024.09.19 15:47,-22.99
154630868,1,EURUSD,0.31,1.11345,2024.09.19 09:05,1.11289,2024.09.19 15:47,17.36
154634341,1,EURUSD,0.51,1.11689,2024.09.19 11:45,1.11289,2024.09.19 15:47,204
154634344,1,EURUSD,0.02,1.11689,2024.09.19 11:45,1.11289,2024.09.19 15:47,8
154642431,1,EURUSD,0.19,1.1129,2024.09.19 15:50,1.11344,2024.09.23 10:15,-10.26
154648601,1,EURUSD,0.31,1.11463,2024.09.19 18:50,1.11344,2024.09.23 10:15,36.89
154663864,1,EURUSD,0.51,1.11786,2024.09.20 10:10,1.11344,2024.09.23 10:15,225.42
154693630,1,EURUSD,0.19,1.11197,2024.09.23 10:20,1.10947,2024.09.23 11:02,47.5
154695177,1,EURUSD,0.19,1.10958,2024.09.23 11:05,1.11312,2024.09.25 20:07,-67.26
154696896,1,EURUSD,0.31,1.11121,2024.09.23 12:25,1.11312,2024.09.25 20:07,-59.21
154728270,1,EURUSD,0.51,1.11443,2024.09.24 12:35,1.11312,2024.09.25 20:07,66.81
154750050,1,EURUSD,0.84,1.11934,2024.09.25 03:45,1.11312,2024.09.25 20:07,522.48
154814373,1,EURUSD,0.19,1.11215,2024.09.25 20:10,1.11281,2024.09.27 10:24,-12.54
154816285,1,EURUSD,0.31,1.11379,2024.09.25 21:50,1.11281,2024.09.27 10:24,30.38
154891282,1,EURUSD,0.51,1.11741,2024.09.26 17:50,1.11281,2024.09.27 10:24,234.6
154921659,1,EURUSD,0.19,1.11269,2024.09.27 10:25,1.11568,2024.09.27 18:50,-56.81
154924026,1,EURUSD,0.02,1.11445,2024.09.27 12:00,1.11568,2024.09.27 18:50,-2.46
154924030,1,EURUSD,0.31,1.11445,2024.09.27 12:00,1.11568,2024.09.27 18:50,-38.13
154951440,1,EURUSD,0.84,1.11997,2024.09.27 16:00,1.11568,2024.09.27 18:50,360.36
154951442,1,EURUSD,0.04,1.11997,2024.09.27 16:00,1.11568,2024.09.27 18:50,17.16
154976153,1,EURUSD,0.19,1.11592,2024.09.27 18:55,1.11465,2024.09.30 17:26,24.13
155011091,1,EURUSD,0.31,1.1179,2024.09.30 11:05,1.11465,2024.09.30 17:26,100.75
