OrderTicket,OrderType,Symbol,Volume,OpenPrice,OpenTime,ClosePrice,CloseTime,Profit
154814381,1,EURUSD,0.26,1.11215,2024.09.25 20:10,1.11133,2024.10.01 10:09,21.32
154814383,1,EURUSD,0.26,1.11215,2024.09.25 20:10,1.11133,2024.10.01 10:09,21.32
154814386,1,EURUSD,0.26,1.11215,2024.09.25 20:10,1.11133,2024.10.01 10:09,21.32
154814387,1,EURUSD,0.33,1.11215,2024.09.25 20:10,1.11133,2024.10.01 10:09,27.06
154897843,1,EURUSD,0.26,1.11836,2024.09.26 22:20,1.11133,2024.10.01 10:09,182.78
155029511,1,EURUSD,0.04,1.11154,2024.09.30 21:20,1.11209,2024.10.01 10:06,-2.2
155033309,1,EURUSD,0.06,1.11329,2024.09.30 21:45,1.11209,2024.10.01 10:06,7.2
155033744,1,EURUSD,0.04,1.11286,2024.09.30 22:05,1.11186,2024.10.01 10:07,4
155033745,1,EURUSD,0.05,1.11286,2024.09.30 22:05,1.11136,2024.10.01 10:09,7.5
155034922,1,EURUSD,0.04,1.11298,2024.10.01 00:05,1.11248,2024.10.01 10:06,2
155043193,1,EURUSD,0.04,1.11131,2024.10.01 10:10,1.11081,2024.10.01 11:05,2
155044823,1,EURUSD,0.04,1.11088,2024.10.01 11:05,1.11038,2024.10.01 11:12,2
155044826,1,EURUSD,0.05,1.11088,2024.10.01 11:05,1.10938,2024.10.01 12:45,7.5
155044828,1,EURUSD,0.04,1.11088,2024.10.01 11:05,1.10988,2024.10.01 11:53,4
155044956,1,EURUSD,0.04,1.11074,2024.10.01 11:10,1.11024,2024.10.01 11:12,2
155045133,1,EURUSD,0.04,1.11042,2024.10.01 11:15,1.10992,2024.10.01 11:53,2
155045912,1,EURUSD,0.04,1.10997,2024.10.01 11:55,1.10947,2024.10.01 12:45,2
155046981,0,EURUSD,0.04,1.1094,2024.10.01 12:55,1.1099,2024.10.01 14:06,2
155047188,1,EURUSD,0.04,1.10923,2024.10.01 13:05,1.10873,2024.10.01 13:24,2
155047190,1,EURUSD,0.04,1.10923,2024.10.01 13:05,1.10823,2024.10.01 14:34,4
155047191,1,EURUSD,0.05,1.10923,2024.10.01 13:05,1.10773,2024.10.01 15:17,7.5
155058153,1,EURUSD,0.04,1.1071,2024.10.01 18:05,1.1066,2024.10.01 18:06,2
155058156,1,EURUSD,0.04,1.1071,2024.10.01 18:05,1.1061,2024.10.01 18:33,4
155058161,1,EURUSD,0.05,1.1071,2024.10.01 18:05,1.1056,2024.10.01 19:37,7.5
155060363,1,EURUSD,0.04,1.10632,2024.10.01 19:05,1.10582,2024.10.01 19:31,2
155060365,1,EURUSD,0.04,1.10632,2024.10.01 19:05,1.10532,2024.10.01 19:43,4
155062447,1,EURUSD,0.04,1.10538,2024.10.01 20:05,1.10488,2024.10.01 20:15,2
155062450,1,EURUSD,0.04,1.10538,2024.10.01 20:05,1.10542,2024.10.02 08:38,-0.16
155062454,1,EURUSD,0.05,1.10538,2024.10.01 20:05,1.10495,2024.10.02 16:35,2.15
155065340,1,EURUSD,0.06,1.10712,2024.10.01 21:50,1.10542,2024.10.02 08:38,10.2
155065343,1,EURUSD,0.08,1.10712,2024.10.01 21:50,1.10495,2024.10.02 16:35,17.36
155065572,1,EURUSD,0.04,1.1071,2024.10.01 22:05,1.1066,2024.10.01 23:34,2
155067016,1,EURUSD,0.04,1.1065,2024.10.02 00:05,1.106,2024.10.02 08:01,2
155067233,6,,0.01,0,2024.10.02 01:09,0,2024.10.02 01:09,100000
155102978,1,EURUSD,0.04,1.10634,2024.10.02 10:05,1.10584,2024.10.02 15:37,2
155102979,1,EURUSD,0.04,1.10634,2024.10.02 10:05,1.10534,2024.10.02 15:43,4
155118052,1,EURUSD,0.04,1.10443,2024.10.02 21:05,1.10393,2024.10.02 21:26,2
155118053,1,EURUSD,0.05,1.10443,2024.10.02 21:05,1.10293,2024.10.03 08:08,7.5
155118054,1,EURUSD,0.04,1.10443,2024.10.02 21:05,1.10343,2024.10.03 06:23,4
155120886,1,EURUSD,0.04,1.10436,2024.10.03 02:05,1.10386,2024.10.03 03:27,2
